chain,taxonomy,risk_level,risk_category,taxonomy_ids,source_file,copied_file,copied
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,missing_eip191_prefix,T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2024/0x2566f2e7acc73380d9a442b177a8dc2af52b2a9a_RioLRTCoordinator.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/001_T1_UNSEPARATED_SIGNING_DOMAIN_0x2566f2e7acc73380d9a442b177a8dc2af52b2a9a_RioLRTCoordinator.sol,yes
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_domain_separator,missing_eip191_prefix",T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0x787cdf337b66e10de9191bb7a26e2128b52c6390_StakingRewards.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/002_T1_UNSEPARATED_SIGNING_DOMAIN_0x787cdf337b66e10de9191bb7a26e2128b52c6390_StakingRewards.sol,yes
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0x0a32167dfa4eada6758d77b7ac27f76e8a723df2_Settlement.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/003_T1_UNSEPARATED_SIGNING_DOMAIN_0x0a32167dfa4eada6758d77b7ac27f76e8a723df2_Settlement.sol,yes
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,missing_eip191_prefix,T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2024/0xe1bd289783d5c5370aff70cd58b0bafae3b710d2_PreOrder.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/004_T1_UNSEPARATED_SIGNING_DOMAIN_0xe1bd289783d5c5370aff70cd58b0bafae3b710d2_PreOrder.sol,yes
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_domain_separator,missing_eip191_prefix",T1_UNSEPARATED_SIGNING_DOMAIN,/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2022/0xb7113ff8f7a56403cedf02ff103b57f3e6fabd3d_MerkledropFactory.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/005_T1_UNSEPARATED_SIGNING_DOMAIN_0xb7113ff8f7a56403cedf02ff103b57f3e6fabd3d_MerkledropFactory.sol,yes
ethereum,T1_UNSEPARATED_SIGNING_DOMAIN,High,"missing_eip191_prefix,missing_logical_domain_disambiguator","T1_UNSEPARATED_SIGNING_DOMAIN,T4_LOGICAL_DOMAIN_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2022/0xaf6e66f6d2a52e2fed343e47b75f3f1b790ba5e2_PlaygroundRouter.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/006_T1_UNSEPARATED_SIGNING_DOMAIN_0xaf6e66f6d2a52e2fed343e47b75f3f1b790ba5e2_PlaygroundRouter.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,"missing_chainId,missing_eip191_prefix,missing_verifyingContract","T1_UNSEPARATED_SIGNING_DOMAIN,T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2025/0xa3bdb3a57626900e4dd9cc1c2c07ba60f4a44fbc_EthAaveLeverageStrategy.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/007_T2_CROSS_CHAIN_REPLAY_0xa3bdb3a57626900e4dd9cc1c2c07ba60f4a44fbc_EthAaveLeverageStrategy.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2021/0x32e255ed9e9f703563118ab5211ace4f80ce6279_Coin.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/008_T2_CROSS_CHAIN_REPLAY_0x32e255ed9e9f703563118ab5211ace4f80ce6279_Coin.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,"incorrect_verifyingContract,missing_chainId,proxy_stale_domain","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2025/0x7600192ec07444df13b041d23a598b885ff4018d_SrcBridge.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/009_T2_CROSS_CHAIN_REPLAY_0x7600192ec07444df13b041d23a598b885ff4018d_SrcBridge.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,"incorrect_verifyingContract,missing_chainId,proxy_stale_domain","T2_CROSS_CHAIN_REPLAY,T3_CROSS_CONTRACT_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2025/0xca0d26a9c82d0b6133e624ce26f7d7d50ebe71cb_SrcBridge.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/010_T2_CROSS_CHAIN_REPLAY_0xca0d26a9c82d0b6133e624ce26f7d7d50ebe71cb_SrcBridge.sol,yes
ethereum,T2_CROSS_CHAIN_REPLAY,High,"hardcoded_chainId,stale_cached_DOMAIN_SEPARATOR","T2_CROSS_CHAIN_REPLAY,T5_DOMAIN_FRESHNESS_FAILURE",/home/ashok/ashokTests/smart-contract-data-source/etherscan_verified_sources/ethereum/verified_sources/2020/0xed324e10e9ca6797412a1b7d1666594fc73eea50_YFICOIN.sol,/home/ashok/ashokTests/smart-contract-data-source/domain_separator_analysis/manual_check_corrected_20260618_153701/ethereum/011_T2_CROSS_CHAIN_REPLAY_0xed324e10e9ca6797412a1b7d1666594fc73eea50_YFICOIN.sol,yes
