ERC Type,Count,Percentage,Source File
ERC5528;ERC20;ERC2612;ERC1363;ERC2981;ERC223;ERC4524,28059,63.32144791478606,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC7160;ERC6672;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,4883,11.01958837335259,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC5267;ERC20;ERC2612;ERC1363;ERC2981;ERC223;ERC4524,2916,6.5806102184509845,config_FULL_server_processed_deduplicated_avalanche.csv
ERC20,2167,4.890323163025817,config_FULL_server_processed_deduplicated_avalanche.csv
ERC223,1737,3.919931395558765,config_FULL_server_processed_deduplicated_avalanche.csv
ERC20;ERC223,1466,3.30835890955046,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC223;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC7160;ERC6672;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,957,2.1596858638743455,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5615;ERC1155,694,1.5661671781910091,config_FULL_server_processed_deduplicated_avalanche.csv
ERC6492;ERC1271,360,0.8124210146235782,config_FULL_server_processed_deduplicated_avalanche.csv
ERC2981;ERC5615;ERC1155,153,0.34527893121502073,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC223;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,134,0.3024011554432208,config_FULL_server_processed_deduplicated_avalanche.csv
ERC2981,111,0.25049647950893666,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC5267;ERC20;ERC2612;ERC4626;ERC1363;ERC2981;ERC223;ERC4524,104,0.2346994042245893,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC6105;ERC4494;ERC223;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC7160;ERC6672;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,103,0.23244267918396824,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC20;ERC2612;ERC4626;ERC1363;ERC2981;ERC223;ERC4524,96,0.21664560389962087,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC6492;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC223;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC7160;ERC6672;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,44,0.09929590178732624,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC20;ERC2612;ERC1363;ERC2981;ERC4524,35,0.07898537642173678,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC4400;ERC5007;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC5192;ERC4494;ERC6150;ERC5380;ERC3754;ERC7160;ERC6672;ERC6454;ERC721;ERC6982,34,0.07672865138111573,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC6492;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC7160;ERC6672;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,30,0.06770175121863152,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5267;ERC2612;ERC223,18,0.040621050731178915,config_FULL_server_processed_deduplicated_avalanche.csv
ERC20;ERC2612;ERC223,16,0.03610760064993681,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC5267;ERC20;ERC2612;ERC6492;ERC1363;ERC2981;ERC223;ERC4524;ERC1271,15,0.03385087560931576,config_FULL_server_processed_deduplicated_avalanche.csv
ERC20;ERC2612,15,0.03385087560931576,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC20;ERC2612;ERC6492;ERC1363;ERC2981;ERC223;ERC4524;ERC1271,14,0.03159415056869471,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC20;ERC2612;ERC777;ERC1363;ERC2981;ERC223;ERC4524,14,0.03159415056869471,config_FULL_server_processed_deduplicated_avalanche.csv
ERC1948;ERC5528;ERC4400;ERC5521;ERC5007;ERC20;ERC2612;ERC5484;ERC6239;ERC4907;ERC4906;ERC6147;ERC7231;ERC1363;ERC2981;ERC5192;ERC4494;ERC6150;ERC5380;ERC3440;ERC3754;ERC4524;ERC4910;ERC5646;ERC3589;ERC6454;ERC721;ERC1271;ERC6982,14,0.03159415056869471,config_FULL_server_processed_deduplicated_avalanche.csv
ERC20;ERC6492;ERC1271,12,0.02708070048745261,config_FULL_server_processed_deduplicated_avalanche.csv
ERC5528;ERC20;ERC2612;ERC1363;ERC2981;ERC223;ERC3643;ERC4524,12,0.02708070048745261,config_FULL_server_processed_deduplicated_avalanche.csv
