ERC Type,Count,Percentage,Source File
ERC20,1480917,92.40028975759319,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC3754;ERC721,35193,2.195830959762753,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612,11959,0.746169478242911,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC20;ERC2612,5934,0.37024581352064834,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC2981;ERC3754;ERC721,1400,0.08735155694791165,partial_match_config_FULL_binance_deduplicated_results.csv
ERC3754;ERC721,1168,0.07287615608225771,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC4906;ERC3754;ERC721,796,0.04966559952181261,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC3754,517,0.0322576821014788,partial_match_config_FULL_binance_deduplicated_results.csv
ERC2981,445,0.0277653163155862,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC1363,384,0.023959284191427194,partial_match_config_FULL_binance_deduplicated_results.csv
ERC3754,265,0.016534401850854703,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC6492;ERC4906;ERC3754;ERC721;ERC1271,139,0.008672761725542657,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC1271,119,0.007424882340572489,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC4626,117,0.007300094402075473,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC4906;ERC3754;ERC721;ERC1271,108,0.006738548678838898,partial_match_config_FULL_binance_deduplicated_results.csv
ERC2981;ERC3754;ERC721,86,0.005365881355371715,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC5192;ERC3754;ERC721,74,0.004617153724389616,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC4906;ERC3754;ERC721,71,0.0044299718166440905,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC6492;ERC1271,66,0.004118001970401549,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC4906;ERC2981;ERC3754;ERC721;ERC1271,48,0.0029949105239283993,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC1363,46,0.0028701225854313827,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC6492;ERC1271,37,0.002308576862194808,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC4906;ERC3754;ERC721,31,0.0019342130467037576,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC3754;ERC721,31,0.0019342130467037576,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC4906;ERC2981;ERC3754;ERC721,30,0.0018718190774552497,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC4906;ERC2981;ERC3754;ERC721,20,0.0012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC2981;ERC5192;ERC3754;ERC721,19,0.001185485415721658,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC4494;ERC3754;ERC721,15,0.0009359095387276249,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC20;ERC2612;ERC4626,15,0.0009359095387276249,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC6492;ERC4626;ERC1271,12,0.0007487276309820998,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC20;ERC2612;ERC6492;ERC4626;ERC1271,10,0.0006239396924850832,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC4906;ERC4494;ERC3754;ERC721;ERC1271,9,0.0005615457232365749,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC4906;ERC4494;ERC3754;ERC721,8,0.0004991517539880665,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5725;ERC4906;ERC3754;ERC721,8,0.0004991517539880665,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC2981;ERC5773;ERC3754;ERC721,8,0.0004991517539880665,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC4524,8,0.0004991517539880665,partial_match_config_FULL_binance_deduplicated_results.csv
ERC223,5,0.0003119698462425416,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC3754;ERC721;ERC1271,5,0.0003119698462425416,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC223,3,0.00018718190774552496,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC3754;ERC721,3,0.00018718190774552496,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC2981;ERC1271,3,0.00018718190774552496,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC2981;ERC5773;ERC3754;ERC6454;ERC721,3,0.00018718190774552496,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC4906;ERC5192;ERC3754;ERC721,2,0.00012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC20;ERC2612;ERC6492;ERC1271,2,0.00012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2981;ERC3754;ERC721,2,0.00012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5192;ERC3754;ERC721,2,0.00012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4400;ERC4906;ERC3754;ERC721,2,0.00012478793849701663,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC20;ERC2612;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC5192;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4907;ERC2981;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC20;ERC2612;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC4906;ERC6150;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC5267;ERC4906;ERC2981;ERC3754;ERC721,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
ERC6492;ERC4906;ERC2981;ERC4494;ERC3754;ERC721;ERC1271,1,6.239396924850831e-05,partial_match_config_FULL_binance_deduplicated_results.csv
