ERC Type,Count,Percentage,Source File
ERC4626,151,35.69739952718676,top50_processed_deduplicated_polygon.csv
ERC4907,112,26.47754137115839,top50_processed_deduplicated_polygon.csv
ERC1363,109,25.768321513002363,top50_processed_deduplicated_polygon.csv
ERC5192,29,6.8557919621749415,top50_processed_deduplicated_polygon.csv
ERC4494,11,2.6004728132387704,top50_processed_deduplicated_polygon.csv
ERC4524,9,2.127659574468085,top50_processed_deduplicated_polygon.csv
ERC223,1,0.2364066193853428,top50_processed_deduplicated_polygon.csv
ERC4907;ERC5192,1,0.2364066193853428,top50_processed_deduplicated_polygon.csv
ERC1363,431,61.92528735632183,top10_processed_binance_deduplicated_results.csv
ERC4626,154,22.126436781609197,top10_processed_binance_deduplicated_results.csv
ERC4907,74,10.632183908045976,top10_processed_binance_deduplicated_results.csv
ERC223,21,3.0172413793103448,top10_processed_binance_deduplicated_results.csv
ERC5192,12,1.7241379310344827,top10_processed_binance_deduplicated_results.csv
ERC4494,3,0.43103448275862066,top10_processed_binance_deduplicated_results.csv
ERC4907;ERC5192,1,0.14367816091954022,top10_processed_binance_deduplicated_results.csv
ERC223,1483,56.559877955758964,top10_processed_ethereum_deduplicated_results.csv
ERC4626,408,15.560640732265446,top10_processed_ethereum_deduplicated_results.csv
ERC1363,338,12.890922959572846,top10_processed_ethereum_deduplicated_results.csv
ERC4907,320,12.204424103737605,top10_processed_ethereum_deduplicated_results.csv
ERC4494,37,1.4111365369946605,top10_processed_ethereum_deduplicated_results.csv
ERC5192,34,1.2967200610221206,top10_processed_ethereum_deduplicated_results.csv
ERC4626;ERC1363,1,0.03813882532418002,top10_processed_ethereum_deduplicated_results.csv
ERC4907;ERC5192,1,0.03813882532418002,top10_processed_ethereum_deduplicated_results.csv
ERC223,1483,56.259484066767826,top50_processed_ethereum_deduplicated_results.csv
ERC4626,409,15.515933232169953,top50_processed_ethereum_deduplicated_results.csv
ERC1363,338,12.822458270106221,top50_processed_ethereum_deduplicated_results.csv
ERC4907,320,12.139605462822459,top50_processed_ethereum_deduplicated_results.csv
ERC4494,37,1.4036418816388467,top50_processed_ethereum_deduplicated_results.csv
ERC5192,34,1.289833080424886,top50_processed_ethereum_deduplicated_results.csv
ERC4524,14,0.5311077389984825,top50_processed_ethereum_deduplicated_results.csv
ERC4907;ERC5192,1,0.03793626707132018,top50_processed_ethereum_deduplicated_results.csv
ERC1363,1,20.0,top50_processed_deduplicated_avalanche.csv
ERC223,1,20.0,top50_processed_deduplicated_avalanche.csv
ERC4494,1,20.0,top50_processed_deduplicated_avalanche.csv
ERC4626,1,20.0,top50_processed_deduplicated_avalanche.csv
ERC4907;ERC5192,1,20.0,top50_processed_deduplicated_avalanche.csv
ERC4626,151,36.21103117505996,top10_processed_deduplicated_polygon.csv
ERC4907,112,26.85851318944844,top10_processed_deduplicated_polygon.csv
ERC1363,112,26.85851318944844,top10_processed_deduplicated_polygon.csv
ERC5192,29,6.954436450839328,top10_processed_deduplicated_polygon.csv
ERC4494,11,2.6378896882494005,top10_processed_deduplicated_polygon.csv
ERC223,1,0.2398081534772182,top10_processed_deduplicated_polygon.csv
ERC4907;ERC5192,1,0.2398081534772182,top10_processed_deduplicated_polygon.csv
ERC1363,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC223,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4494,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4524,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4626,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4907,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4955,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC5192,1,12.5,top50_processed_binance_deduplicated_results.csv
ERC4626,65,48.87218045112782,top10_processed_deduplicated_avalanche.csv
ERC5192,27,20.30075187969925,top10_processed_deduplicated_avalanche.csv
ERC1363,25,18.796992481203006,top10_processed_deduplicated_avalanche.csv
ERC4907,11,8.270676691729323,top10_processed_deduplicated_avalanche.csv
ERC223,3,2.2556390977443606,top10_processed_deduplicated_avalanche.csv
ERC4494,1,0.7518796992481203,top10_processed_deduplicated_avalanche.csv
ERC4907;ERC5192,1,0.7518796992481203,top10_processed_deduplicated_avalanche.csv
